症状,亲友团
惊悸,"['产后', '口干', '寒热', '饮食不下', '血风劳', '心神多躁', '赤白带下', '产后百损', '盗汗', '风邪', '怔忡不宁', '月经不调', '元气虚惫', '言语謇涩', '恍惚']"
眼昏,"['眩晕', '饮食不下', '干呕', '耳内虚鸣', '寒热', '产后', '头痛', '五劳', '口干', '元气虚惫', '咳嗽', '耳聋', '肚腹痛', '遍身壮热', '肢体怠情']"
瘀血,"['产后', '月经不通', '疼痛', '干呕', '遍身壮热', '寒热', '口干', '涩', '大小便不通', '恶露未尽', '饮食不下', '肚腹痛', '月经不调', '伤寒', '元气虚惫']"
产后恶露不尽,"['饮食不下', '肚腹痛', '寒热', '口干', '疼痛', '烦愦', '干呕', '上攻', '月经不通', '肌体羸瘦', '血崩', '心神多躁', '言语謇涩', '多倦', '气短促']"
面目青黑,"['饮食不下', '小便利数', '盗汗', '干呕', '寒热', '元气虚惫', '肢体怠情', '耳内虚鸣', '月经不通', '月经不调', '赤白带下', '口干', '痢不止', '不育', '头目眩晕']"
产后气短,"['产后', '寒热', '饮食不下', '虚羸', '咳嗽', '头痛', '头目眩晕', '寒热如疟', '渐渐羸瘦', '遍身壮热', '肌体羸瘦', '多倦', '盗汗', '自汗', '月经不调']"
风邪,"['产后', '惊悸', '言语謇涩', '干呕', '中风', '身疼', '产后百损', '妊娠', '头痛', '腰痛', '肚腹痛', '寒热', '眩晕', '头目眩晕', '难产']"
心腹胀满,"['饮食不下', '妊娠', '干呕', '寒热', '产后', '痢不止', '肢节无力', '月经不通', '咳嗽', '口干', '结生瘕聚', '痰饮', '四肢肿', '月经不调', '遍身壮热']"
肠风,"['赤白带下', '月经过多', '痢不止', '痔漏', '干呕', '咳嗽', '饮食不下', '疟', '月经不调', '五劳', '产后', '中风', '结生瘕聚', '疳', '崩中漏下']"
脚手痹顽,"['身疼', '半身不遂', '左瘫右痪', '中风', '血风劳', '偏正头风', '饮食不下', '干呕', '月经不调', '头痛', '言语謇涩', '产后', '月经不通', '寒热', '赤白带下']"
头面肿满,"['四肢肿', '产后', '饮食不下', '妊娠', '头痛', '眩晕', '血风劳', '干呕', '咳嗽', '头目眩晕', '月经不通', '喘促', '热毒', '产后气虚', '上攻']"
生疮,"['口干', '血风劳', '饮食不下', '热毒', '上攻', '涩', '寒热', '眩晕', '肿痛', '产后', '妊娠', '干呕', '月经不调', '头目眩晕', '身疼']"
脉浮,"['产后', '头痛', '伤寒', '涩', '妊娠', '遍身壮热', '中风', '阴寒', '寒邪', '干呕', '寒热', '舌质淡', '无汗', '月经不通', '咳嗽']"
攻刺,"['肚腹痛', '干呕', '饮食不下', '结生瘕聚', '心腹疼痛', '恶心', '冷气', '吞酸', '月经不调', '痢不止', '腹中疼痛', '翻胃', '产后', '月经不通', '胸中胀满']"
不调,"['饮食不下', '冷热', '干呕', '产后', '寒热', '痢不止', '月经不通', '妊娠', '不育', '赤白带下', '咳嗽', '肌体羸瘦', '头目眩晕', '痰饮', '肢体怠情']"
疳,"['疟', '痢不止', '咳嗽', '肚腹痛', '干呕', '头痛', '痈', '疮疥', '产后', '赤白带下', '伤寒', '肠风', '口烂', '饮食不下', '月经不调']"
小便数日不通,"['产后', '妊娠', '月经不通', '大小便不通', '饮食不下', '咳嗽', '肚腹痛', '伤寒', '腹中疼痛', '热毒', '血气冲心痛', '风湿脚气', '水肿', '转脬', '干呕']"
心热,"['饮食不下', '口干', '月经不通', '头目眩晕', '盗汗', '月经不调', '骨蒸潮热', '面色发红', '遍身壮热', '赤白带下', '肢体怠情', '潮热', '寒热', '咳嗽', '肌体羸瘦']"
偏正头风,"['脚手痹顽', '干呕', '头痛', '头目眩晕', '血风劳', '半身不遂', '产后', '中风', '伤寒', '眩晕', '身疼', '热毒', '风湿脚气', '上攻', '小儿惊痫']"
气血虚弱,"['饮食不下', '月经不调', '头目眩晕', '妊娠', '产后', '肌体羸瘦', '遍身壮热', '头痛', '眩晕', '多倦', '盗汗', '多睡', '潮热', '骨蒸潮热', '心忪']"
烦渴,"['产后', '口干', '饮食不下', '头痛', '寒热', '妊娠', '伤寒', '遍身壮热', '痢不止', '干呕', '咳嗽', '头目眩晕', '不止', '中风', '产后百损']"
腹内,"['饮食不下', '产后', '月经不通', '疼痛', '肌体羸瘦', '妊娠', '干呕', '月经不调', '咳嗽', '结生瘕聚', '赤白带下', '动胎', '中风', '不止', '心神多躁']"
淋,"['产后', '赤白带下', '血崩', '干呕', '涩', '中风', '大小便不通', '淋证', '寒热', '疼痛', '带下', '小便浊败', '湿热', '饮食不下', '肚腹痛']"
遍身洪肿,"['妊娠', '产后', '大小便不通', '饮食不下', '干呕', '喘促', '月经不通', '赤白带下', '结生瘕聚', '中风', '月经不调', '口干', '疼痛', '头目眩晕', '痰饮']"
夜寐不安,"['饮食不下', '口干', '元气虚惫', '盗汗', '寒热', '产后', '渐渐羸瘦', '肢体怠情', '耳内虚鸣', '咳嗽', '眩晕', '多倦', '心神惊悸', '小便利数', '小便浊败']"
大便后下血,"['吐血不止', '痢不止', '血崩', '崩中漏下', '产后', '肚腹痛', '衄血', '月经不调', '盗汗', '干呕', '遍身壮热', '带下', '伤寒', '结生瘕聚', '饮食不下']"
汗出,"['产后', '饮食不下', '干呕', '遍身壮热', '产后百损', '头痛', '口干', '阴寒', '妊娠', '眩晕', '大小便不通', '多睡', '寒热', '肌体羸瘦', '头目眩晕']"
脐腹,"['产后', '饮食不下', '月经不通', '月经不调', '寒热', '口干', '肢体怠情', '疼痛', '肚腹痛', '赤白带下', '月经过多', '肌体羸瘦', '渐渐羸瘦', '崩中漏下', '面色黄青']"
虚冷,"['饮食不下', '赤白带下', '肌体羸瘦', '干呕', '腹中疼痛', '小便利数', '月经不通', '五劳', '产后', '妊娠', '肚腹痛', '月经不调', '带下', '阴中冷', '半身不遂']"
身如角弓反张,"['中风', '产后', '口急', '言语謇涩', '昏迷不省', '牙关紧闭', '半身不遂', '口眼歪斜', '子痫', '失音不语', '妊娠', '寒热', '口干', '血崩', '血亏']"
面色发红,"['口干', '寒热', '盗汗', '饮食不下', '遍身壮热', '潮热', '心热', '头痛', '头目眩晕', '产后', '月经不调', '咳嗽', '肌体羸瘦', '多睡', '心神惊悸']"
吞酸,"['饮食不下', '干呕', '恶心', '肚腹痛', '结生瘕聚', '痢不止', '霍乱', '噫气', '胸膈', '面色黄青', '胸中胀满', '妇人血气', '口苦', '攻刺', '咳嗽']"
四肢拘挛,"['中风', '产后', '饮食不下', '妊娠', '口急', '心腹疼痛', '干呕', '疼痛', '遍身壮热', '头痛', '渐渐羸瘦', '寒热', '头目眩晕', '身疼', '结生瘕聚']"
痞积,"['月经不调', '干呕', '赤白带下', '肚腹痛', '结生瘕聚', '咳嗽', '饮食不下', '痢不止', '疟', '小便浊败', '痔漏', '寒湿', '疝气', '血瘕', '产后']"
阴蚀疮,"['疮疥', '下肢溃疡', '不止', '痈', '久不愈', '臁疮', '疼痛', '热毒', '疳', '痈疽发背', '痒痛', '脓水淋漓', '肌体羸瘦', '涩', '喘促']"
肌黄形瘦,"['饮食不下', '月经不调', '肢体怠情', '遍身壮热', '赤白带下', '眩晕', '阴中冷', '干呕', '口干', '带下', '肢节无力', '月经不通', '不育', '头目眩晕', '腹中疼痛']"
不睡,"['产后', '饮食不下', '口干', '眩晕', '盗汗', '心神惊悸', '寒热', '心神恍惚', '中风', '言语謇涩', '干呕', '遍身壮热', '头痛', '咳嗽', '血亏']"
惊胎,"['妊娠', '惊风', '遍身壮热', '咳嗽', '肚腹痛', '动胎', '小儿惊痫', '喘促', '不安', '壮热', '感冒', '面目青黑', '癫痫', '丹毒', '产后']"
不和,"['饮食不下', '干呕', '痢不止', '头目眩晕', '产后', '霍乱', '盗汗', '肚腹痛', '月经不调', '多倦', '恶心', '胸膈', '赤白带下', '口干', '不育']"
食积,"['干呕', '结生瘕聚', '痢不止', '产后', '饮食不下', '食滞', '心腹胀', '疟', '肚腹痛', '月经不调', '头痛', '咳嗽', '眩晕', '疳', '遍身壮热']"
血热,"['月经先期', '口干', '遍身壮热', '月经过多', '月经不通', '涩', '血亏', '脉弦数', '产后', '妊娠', '烦热', '生疮', '动胎', '崩中漏下', '热毒']"
下痢,"['妊娠', '痢不止', '肚腹痛', '脓血', '饮食不下', '干呕', '产后', '寒热', '里急后重', '月经过多', '大小便不通', '心腹胀', '胸中胀满', '肠鸣', '冷热']"
不定,"['产后', '干呕', '血风劳', '饮食不下', '咳嗽', '中风', '月经不通', '月经过多', '痢不止', '眩晕', '元气虚惫', '言语謇涩', '恍惚', '肚腹痛', '月经不调']"
短气,"['产后', '饮食不下', '干呕', '妊娠', '咳嗽', '口干', '头目眩晕', '渐渐羸瘦', '产后百损', '大小便不通', '烦愦', '多倦', '肚腹痛', '头痛', '月经过多']"
产前后诸疾,"['寒热', '产后', '月经不调', '干呕', '月经不通', '咳嗽', '肌体羸瘦', '疝气', '头痛', '中风', '痢不止', '血风劳', '面色黄青', '死胎', '肠风']"
小儿惊痫,"['中风', '产后', '咳嗽', '痢不止', '伤寒', '疟', '肚腹痛', '遍身壮热', '感冒', '头痛', '偏正头风', '干呕', '痰饮', '霍乱', '半身不遂']"
毒气冲心,"['产后', '饮食不下', '干呕', '肚腹痛', '结生瘕聚', '血晕', '恶露不下', '难产', '涩', '烦愦', '咳嗽', '胎衣不下', '血气冲心痛', '妊娠', '月经不通']"
牙关紧闭,"['产后', '中风', '昏迷不省', '手足挛急', '口急', '口干', '身疼', '言语謇涩', '半身不遂', '身如角弓反张', '遍身壮热', '头痛', '伤寒', '背项强直', '小儿惊痫']"
惊风,"['干呕', '中风', '痢不止', '产后', '惊胎', '饮食不下', '遍身壮热', '咳嗽', '大小便不通', '胎风', '伤寒', '霍乱', '疳', '肚腹痛', '喘促']"
淋沥不断,"['月经不调', '产后', '带下', '小便利数', '饮食不下', '冲任不固', '眩晕', '月经过多', '头目眩晕', '渐渐羸瘦', '崩中漏下', '肢体怠情', '妊娠', '赤白带下', '血崩']"
浮肿,"['大小便不通', '妊娠', '干呕', '产后', '饮食不下', '月经不通', '遍身壮热', '喘促', '肚腹痛', '月经不调', '痢不止', '疼痛', '结生瘕聚', '心腹胀', '咳嗽']"
肿痛,"['热毒', '乳痈', '产后', '头痛', '痈', '寒热', '口干', '生疮', '疖', '遍身壮热', '干呕', '湿热', '瘰疬', '痔漏', '饮食不下']"
口烂,"['饮食不下', '遍身壮热', '寒热', '眼赤', '头痛', '咳嗽', '热毒', '疳', '口干', '痈', '五劳', '疮疥', '肚腹痛', '月经不调', '疼痛']"
内热,"['产后', '血亏', '阴虚', '口干', '妊娠', '遍身壮热', '头痛', '咳嗽', '月经不调', '眩晕', '月经不通', '痢不止', '伤寒', '盗汗', '饮食不下']"
气短,"['饮食不下', '产后', '多倦', '头目眩晕', '心神惊悸', '精神不守', '咳嗽', '自汗', '干呕', '遍身壮热', '盗汗', '小便利数', '舌质淡', '痢不止', '眩晕']"
腰腿疼痛,"['月经不调', '赤白带下', '左瘫右痪', '寒湿', '脚手痹顽', '偏正头风', '饮食不下', '月经不通', '言语謇涩', '五劳', '耳聋', '产后', '干呕', '不育', '风湿脚气']"
四肢烦倦,"['饮食不下', '干呕', '伤寒', '妊娠', '头痛', '产后', '肌体羸瘦', '渐渐羸瘦', '结生瘕聚', '壮热', '月经不调', '寒热', '赤白带下', '月经过多', '痢不止']"
眼赤,"['头痛', '口烂', '热毒', '遍身壮热', '咳嗽', '痢不止', '疼痛', '伤寒', '涩', '疳', '产后', '赤白带下', '月经不通', '吐血不止', '疮疥']"
眼目昏花,"['眩晕', '饮食不下', '月经不调', '肢节无力', '产后', '赤白带下', '干呕', '口干', '咳嗽', '月经不通', '头目眩晕', '耳内虚鸣', '带下', '血崩', '腹中疼痛']"
舌质淡,"['舌苔花白', '饮食不下', '妊娠', '产后', '精神不守', '气短', '经水涩少', '苔薄', '月经不通', '遍身壮热', '月经过多', '心神惊悸', '少腹苦痛', '胸烦', '头痛']"
带下不止,"['产后', '饮食不下', '眩晕', '肌体羸瘦', '干呕', '月经不调', '月经不通', '小便利数', '不育', '血崩', '腹中疼痛', '元气虚惫', '结生瘕聚', '盗汗', '阴中冷']"
左瘫右痪,"['脚手痹顽', '半身不遂', '身疼', '头痛', '言语謇涩', '寒湿', '赤白带下', '痢不止', '五劳', '月经不调', '中风', '风湿脚气', '腰腿疼痛', '四肢急掣', '疝气']"
上气,"['产后', '饮食不下', '干呕', '咳嗽', '咳逆', '结生瘕聚', '喘促', '伤寒', '鼻塞多嚏', '月经不通', '口干', '痢不止', '寒热', '头目眩晕', '痰饮']"
小便涩,"['妊娠', '产后', '子淋', '饮食不下', '肚腹痛', '遍身壮热', '心腹胀', '腹内痛', '大便结燥', '遍身洪肿', '寒热', '喘促', '寒邪', '疳', '淋']"
七情内伤,"['产后', '饮食不下', '肚腹痛', '头痛', '干呕', '痢不止', '带下', '头目眩晕', '身疼', '月经不调', '遍身壮热', '寒邪', '寒热', '咳嗽', '喘促']"
小便短赤,"['口干', '妊娠', '遍身壮热', '饮食不下', '干呕', '头痛', '伤寒', '咳嗽', '大便结燥', '寒热', '大小便不通', '烦躁', '口苦', '湿热', '产后']"
少腹苦痛,"['饮食不下', '月经不调', '赤白带下', '眩晕', '月经不通', '结生瘕聚', '舌质淡', '产后', '干呕', '带下', '崩中漏下', '腰痠', '舌苔花白', '口干', '痢不止']"
脉弦虚,"['产后', '涩', '妊娠', '饮食不下', '潮热', '口干', '不育', '不止', '漏血不止', '遍身壮热', '元气虚惫', '腰痛', '阴虚', '经行无定期', '舌质淡']"
四肢痠痛,"['饮食不下', '头目眩晕', '多睡', '血风劳', '干呕', '产后', '月经不调', '眩晕', '咳嗽', '口干', '肌体羸瘦', '寒热', '头痛', '带下', '不育']"
咯痰带血,"['咳嗽', '口干', '吐血不止', '气怒肺热', '衄血', '咯血', '喘促', '盗汗', '虚劳', '潮热', '声哑', '阴虚', '虚热', '咳血', '干嗽']"
湿热,"['伤寒', '带下', '小便短赤', '口干', '疼痛', '干呕', '遍身壮热', '热毒', '痈', '膨胀腹满', '淋', '肿痛', '产后', '赤白带下', '中风']"
血瘕,"['月经不通', '产后', '饮食不下', '寒热', '结生瘕聚', '赤白带下', '疼痛', '月经不调', '干呕', '痞积', '肚腹痛', '血崩', '气块', '咳嗽', '肌体羸瘦']"
脾胃虚弱,"['饮食不下', '干呕', '痢不止', '产后', '妊娠', '寒热', '肢节无力', '肢体怠情', '月经不通', '遍身壮热', '头痛', '自汗', '肚腹痛', '月经不调', '口干']"
下元虚冷,"['赤白带下', '不育', '五劳', '渐渐羸瘦', '饮食不下', '疼痛', '精神不守', '月经不通', '月经不调', '肢体怠情', '阴中冷', '冲任不固', '小便浊败', '疝气', '诸虚百损']"
气急,"['妊娠', '咳嗽', '产后', '饮食不下', '心腹胀', '遍身壮热', '干呕', '伤寒', '月经不调', '头痛', '痢不止', '喘促', '大小便不通', '肢节无力', '气短促']"
胎风,"['惊风', '咳嗽', '壮热', '搐搦', '遍身壮热', '心神惊悸', '心热', '牙关紧闭', '手足挛急', '惊热', '目睛斜视', '伤寒', '头目眩晕', '涩', '言语謇涩']"
腰腿痠疼,"['妊娠', '肚腹痛', '伤寒', '产后', '饮食不下', '月经不调', '干呕', '咳嗽', '口干', '痢不止', '眩晕', '赤白带下', '动胎', '带下', '崩中漏下']"
丹疹,"['产后', '遍身壮热', '痈', '斑', '伤寒', '口烂', '饮食不下', '月经不通', '头痛', '中风', '言语謇涩', '热毒', '阴寒', '搔痒', '干呕']"
诸虚百损,"['五劳', '不育', '产后', '月经不调', '赤白带下', '肌体羸瘦', '盗汗', '饮食不下', '带下', '阴中冷', '咳嗽', '元气虚惫', '冲任不固', '寒湿', '下元虚冷']"
心神烦热,"['饮食不下', '口干', '头目眩晕', '妊娠', '产后', '遍身壮热', '肌体羸瘦', '伤寒', '四肢烦疼', '月经不通', '头痛', '虚劳', '壮热', '恍惚', '月经不调']"
手足厥寒,"['霍乱', '吐泻', '产后', '干呕', '痢不止', '饮食不下', '肚腹痛', '阴寒', '神昏', '妊娠', '中风', '伤寒', '头痛', '头目眩晕', '元气虚惫']"
水肿,"['大小便不通', '产后', '咳嗽', '风湿脚气', '干呕', '赤白带下', '痢不止', '结生瘕聚', '疟', '疳', '妊娠', '阴寒', '虚劳', '黄疸', '肚腹痛']"
虚热,"['产后', '口干', '饮食不下', '咳嗽', '盗汗', '干呕', '月经不调', '妊娠', '头痛', '渐渐羸瘦', '喘促', '心神惊悸', '气逆', '潮热', '烦渴']"
产后崩中下血,"['月经过多', '月经不调', '疼痛', '头目眩晕', '元气虚惫', '产后', '干呕', '月经不通', '寒热', '眩晕', '涩', '心神多躁', '血晕', '气短促', '昏迷不省']"
久不愈,"['产后', '遍身壮热', '赤白带下', '疼痛', '渐渐羸瘦', '血亏', '盗汗', '饮食不下', '月经不调', '口干', '眩晕', '头目眩晕', '结生瘕聚', '乳痈', '阴蚀疮']"
肠鸣,"['肚腹痛', '痢不止', '干呕', '饮食不下', '妊娠', '大小便不通', '胸中胀满', '多睡', '吞酸', '疼痛', '头目眩晕', '元气虚惫', '多倦', '冷气', '里急后重']"
